,jurisdiction,year,includes_jails,prisoner_count,State.Min.Wage,Fed.Min.Wage,Eff.Min.Wage,CPI.Average,DOL.Low.Value,DOL.High.Value,median_income,prisoner_count_per_milion,violent_crime_per_million,murder_manslaughter_per_million,rape_legacy_per_million,rape_revised_per_million,robbery_per_million,agg_assault_per_million,property_crime_per_million,burglary_per_million,larceny_per_million,vehicle_theft_per_million,White,Black,Hispanic,Asian.Native.Hawaiian.and.Pacific.Islander,American.Indian.Alaska.Native,Multiple.Races,Total,unemployment_rate
1,Alabama,2008,FALSE,25363,0,5.85,5.85,215.303,0,0,50761,5440.485639,4528.196658,75.29119029,347.0687917,NA,1575.752376,2530.0843,40845.14897,10813.40226,27143.22487,2888.521847,0.106,0.279,0.28,0.15,0.138,0.239,0.158,5.7
2,Alabama,2009,FALSE,27241,0,6.55,6.55,214.537,0,0,45789,5785.238753,4501.022361,68.38393886,319.4082113,NA,1330.513593,2782.716618,37803.78822,10373.12146,25075.24357,2355.423186,0.116,0.309,0.315,0.097,0.174,0.271,0.174,11
3,Alabama,2010,FALSE,27345,0,7.25,7.25,218.056,0,0,46120,5714.254667,3837.295976,57.46644848,283.1528643,NA,1016.424747,2480.251916,35279.80205,8877.834898,24149.28237,2252.68478,0.132,0.326,0.302,0.095,0.209,0.283,0.191,10.5
4,Alabama,2011,FALSE,26813,0,7.25,7.25,224.939,0,0,46520,5581.751858,4198.023644,62.24382969,285.1974805,NA,1021.298423,2829.283911,36053.9577,10641.61314,23192.80037,2219.544188,0.13,0.326,0.34,0.108,0.207,0.232,0.191,9.6
5,Alabama,2012,FALSE,26768,0,7.25,7.25,229.594,0,0,46490,5556.376631,4502.931794,70.99076539,269.0176373,NA,1042.028194,3120.895198,35054.90783,9855.884595,23149.42435,2049.598881,0.124,0.323,0.326,0.133,0.179,0.347,0.187,8
6,Alabama,2013,FALSE,26825,0,7.25,7.25,232.957,0,0,49876,5549.23918,4309.891858,71.57639353,299.7520064,425.1141292,960.9027397,2852.298595,33478.51343,8773.279912,22520.08483,2185.148684,0.129,0.316,0.357,0.176,0.142,0.222,0.189,7.2
7,Alabama,2014,FALSE,26145,0,7.25,7.25,236.736,0,0,43820,5391.414196,4274.157278,56.91452737,296.120512,413.4551717,969.4028738,2834.384705,31776.04051,8189.711792,21495.13226,2091.196457,0.135,0.315,0.379,0.136,0.173,0.27,0.195,6.8
8,Alabama,2015,FALSE,25212,0,7.25,7.25,237.017,0,0,46053,5188.744384,4723.626095,71.61998436,299.6514288,419.6354831,948.9647928,3283.405835,29789.38579,7255.639508,20406.75623,2126.990053,0.133,0.307,0.344,0.124,0.142,0.231,0.189,6.1
9,Alabama,2016,FALSE,23745,0,7.25,7.25,240.007,0,0,48237,4885.254637,5324.094315,83.73546588,NA,393.9887399,964.2951562,3882.074953,29473.8553,7004.358565,20059.06745,2410.429283,0.121,0.279,0.319,0.118,0.126,0.251,0.173,5.8
10,Alaska,2008,TRUE,4997,7.15,5.85,7.15,215.303,7.15,7.15,73032,7281.146682,6520.538604,39.34179716,651.3253086,NA,939.8318211,4890.039677,29273.2113,4716.644349,22184.40229,2372.164659,0.062,NA,0.105,NA,0.178,0.093,0.081,6.7
11,Alaska,2009,TRUE,5472,7.15,6.55,7.15,214.537,7.15,7.15,70555,7834.232676,6333.816769,31.4972805,734.4593134,NA,936.3282475,4631.531928,29404.14304,5154.100445,21834.77386,2415.268736,0.061,NA,0.193,0.158,0.19,0.063,0.092,7.7
12,Alaska,2010,TRUE,5369,7.75,7.25,7.75,218.056,7.75,7.75,65178,7518.070535,6353.042655,43.4084907,746.3459853,NA,831.7626928,4731.525486,28368.14881,4347.85044,21753.25494,2267.043434,0.082,NA,0.07,0.143,0.242,0.139,0.111,7.9
13,Alaska,2011,TRUE,6216,7.75,7.25,7.75,224.939,7.75,7.75,62731,8587.295886,6100.627193,41.44447821,602.3264167,NA,795.7339817,4661.122316,26378.0289,3939.988396,20520.54265,1917.497859,0.079,NA,NA,NA,0.213,0.123,0.103,7.6
14,Alaska,2012,TRUE,6308,7.75,7.25,7.75,229.594,7.75,7.75,68080,8637.463423,6041.294962,41.07861488,798.2944159,NA,862.6509126,4339.271019,27436.40688,4039.39713,21312.95469,2084.055062,0.072,NA,NA,NA,0.26,0.171,0.114,7.1
15,Alaska,2013,TRUE,5081,7.75,7.25,7.75,232.957,7.75,7.75,76387,6891.743607,6387.171944,46.11676494,891.1386636,1254.647281,845.0218987,4241.385999,28770.07944,3956.547156,22514.47592,2299.05637,0.054,NA,0.145,NA,0.259,NA,0.091,7
16,Alaska,2014,TRUE,6323,7.75,7.25,7.75,236.736,7.75,7.75,70095,8582.496756,6357.807181,55.65117302,753.3268543,1046.513522,853.7704348,4401.872051,27600.26713,4275.638903,20964.20408,2360.424143,0.076,NA,0.209,NA,0.233,NA,0.125,6.9
17,Alaska,2015,TRUE,5247,8.75,7.25,8.75,237.017,8.75,8.75,77717,7105.596724,7301.958745,79.89902929,880.2435431,1220.152973,1030.562056,4971.344687,28175.9187,4754.669353,20650.51352,2770.735829,0.076,NA,NA,NA,0.232,0.116,0.103,6.5
18,Alaska,2016,TRUE,4378,9.75,7.25,9.75,240.007,9.75,9.75,77351,5904.072974,8045.614291,70.12603807,NA,1420.052271,1146.291007,5409.144975,33547.21775,5465.785236,23958.83062,4122.601892,0.068,NA,0.178,NA,0.274,0.104,0.106,6.9
